DateTime,Person
1900-01-01 11:53:01,1.0
1900-01-01 11:53:02,1.0
1900-01-01 11:53:03,1.0
1900-01-01 11:53:04,1.0
1900-01-01 11:53:05,1.0
1900-01-01 11:53:06,1.0
1900-01-01 11:53:07,1.0
1900-01-01 11:53:08,1.0
1900-01-01 11:53:09,1.0
1900-01-01 11:53:10,1.0
1900-01-01 11:53:11,1.0
1900-01-01 11:53:12,1.0
1900-01-01 11:53:13,1.0
1900-01-01 11:53:14,1.0
1900-01-01 11:53:15,1.0
1900-01-01 11:53:16,1.0
1900-01-01 11:53:17,1.0
1900-01-01 11:53:18,1.0
1900-01-01 11:53:19,1.0
1900-01-01 11:53:20,1.0
1900-01-01 11:53:21,1.0
1900-01-01 11:53:22,1.0
1900-01-01 11:53:23,1.0
1900-01-01 11:53:24,1.0
1900-01-01 11:53:25,1.0
1900-01-01 11:53:26,1.0
1900-01-01 11:53:27,1.0
1900-01-01 11:53:28,1.0
1900-01-01 11:53:29,1.0
1900-01-01 11:53:30,1.0
1900-01-01 11:53:31,1.0
1900-01-01 11:53:32,1.0
1900-01-01 11:53:33,1.0
1900-01-01 11:53:34,1.0
1900-01-01 11:53:35,1.0
1900-01-01 11:53:36,1.0
1900-01-01 11:53:37,1.0
1900-01-01 11:53:38,1.0
1900-01-01 11:53:39,1.0
1900-01-01 11:53:40,1.0
1900-01-01 11:53:41,1.0
1900-01-01 11:53:42,1.0
1900-01-01 11:53:43,1.0
1900-01-01 11:53:44,1.0
1900-01-01 11:53:45,1.0
1900-01-01 11:53:46,1.0
1900-01-01 11:53:47,1.0
1900-01-01 11:53:48,1.0
1900-01-01 11:53:49,1.0
1900-01-01 11:53:50,1.0
1900-01-01 11:53:51,1.0
1900-01-01 11:53:52,1.0
1900-01-01 11:53:53,1.0
1900-01-01 11:53:54,1.0
1900-01-01 11:53:55,1.0
1900-01-01 11:53:56,1.0
1900-01-01 11:53:57,1.0
1900-01-01 11:53:58,1.0
1900-01-01 11:53:59,1.0
1900-01-01 11:54:00,1.0
1900-01-01 11:54:01,1.0
1900-01-01 11:54:02,1.0
1900-01-01 11:54:03,1.0
1900-01-01 11:54:04,1.0
1900-01-01 11:54:05,1.0
1900-01-01 11:54:06,1.0
1900-01-01 11:54:07,1.0
1900-01-01 11:54:08,1.0
1900-01-01 11:54:09,1.0
1900-01-01 11:54:10,1.0
1900-01-01 11:54:11,1.0
1900-01-01 11:54:12,1.0
1900-01-01 11:54:13,1.0
1900-01-01 11:54:14,1.0
1900-01-01 11:54:15,1.0
1900-01-01 11:54:16,1.0
1900-01-01 11:54:17,1.0
1900-01-01 11:54:18,1.0
1900-01-01 11:54:19,1.0
1900-01-01 11:54:20,1.0
1900-01-01 11:54:21,1.0
1900-01-01 11:54:22,1.0
1900-01-01 11:54:23,1.0
1900-01-01 11:54:24,1.0
1900-01-01 11:54:25,1.0
1900-01-01 11:54:26,1.0
1900-01-01 11:54:27,1.0
1900-01-01 11:54:28,1.0
1900-01-01 11:54:29,1.0
1900-01-01 11:54:30,1.0
1900-01-01 11:54:31,1.0
1900-01-01 11:54:32,1.0
1900-01-01 11:54:33,1.0
1900-01-01 11:54:34,1.0
1900-01-01 11:54:35,1.0
1900-01-01 11:54:36,1.0
1900-01-01 11:54:37,1.0
1900-01-01 11:54:38,1.0
1900-01-01 11:54:39,1.0
1900-01-01 11:54:40,1.0
1900-01-01 11:54:41,1.0
1900-01-01 11:54:42,1.0
1900-01-01 11:54:43,1.0
1900-01-01 11:54:44,1.0
1900-01-01 11:54:45,1.0
1900-01-01 11:54:46,1.0
1900-01-01 11:54:47,1.0
1900-01-01 11:54:48,1.0
1900-01-01 11:54:49,1.0
1900-01-01 11:54:50,1.0
1900-01-01 11:54:51,1.0
1900-01-01 11:54:52,1.0
1900-01-01 11:54:53,1.0
1900-01-01 11:54:54,1.0
1900-01-01 11:54:55,1.0
1900-01-01 11:54:56,1.0
1900-01-01 11:54:57,1.0
1900-01-01 11:54:58,1.0
1900-01-01 11:54:59,1.0
1900-01-01 11:55:00,1.0
1900-01-01 11:55:01,1.0
1900-01-01 11:55:02,0.0
1900-01-01 11:55:03,0.0
1900-01-01 11:55:04,0.0
1900-01-01 11:55:05,0.0
1900-01-01 11:55:06,0.0
1900-01-01 11:55:07,0.0
1900-01-01 11:55:08,0.0
1900-01-01 11:55:09,0.0
1900-01-01 11:55:10,0.0
1900-01-01 11:55:11,0.0
1900-01-01 11:55:12,0.0
1900-01-01 11:55:13,0.0
1900-01-01 11:55:14,0.0
1900-01-01 11:55:15,0.0
1900-01-01 11:55:16,0.0
1900-01-01 11:55:17,0.0
1900-01-01 11:55:18,0.0
1900-01-01 11:55:19,0.0
1900-01-01 11:55:20,0.0
1900-01-01 11:55:21,0.0
1900-01-01 11:55:22,0.0
1900-01-01 11:55:23,0.0
1900-01-01 11:55:24,0.0
1900-01-01 11:55:25,0.0
1900-01-01 11:55:26,0.0
1900-01-01 11:55:27,0.0
1900-01-01 11:55:28,0.0
1900-01-01 11:55:29,0.0
1900-01-01 11:55:30,0.0
1900-01-01 11:55:31,0.0
1900-01-01 11:55:32,0.0
1900-01-01 11:55:33,0.0
1900-01-01 11:55:34,0.0
1900-01-01 11:55:35,0.0
1900-01-01 11:55:36,0.0
1900-01-01 11:55:37,0.0
1900-01-01 11:55:38,0.0
1900-01-01 11:55:39,0.0
1900-01-01 11:55:40,0.0
1900-01-01 11:55:41,0.0
1900-01-01 11:55:42,0.0
1900-01-01 11:55:43,0.0
1900-01-01 11:55:44,0.0
1900-01-01 11:55:45,0.0
1900-01-01 11:55:46,0.0
1900-01-01 11:55:47,0.0
1900-01-01 11:55:48,0.0
1900-01-01 11:55:49,0.0
1900-01-01 11:55:50,0.0
1900-01-01 11:55:51,0.0
1900-01-01 11:55:52,0.0
1900-01-01 11:55:53,0.0
1900-01-01 11:55:54,0.0
1900-01-01 11:55:55,0.0
1900-01-01 11:55:56,0.0
1900-01-01 11:55:57,0.0
1900-01-01 11:55:58,0.0
1900-01-01 11:55:59,0.0
1900-01-01 11:56:00,0.0
1900-01-01 11:56:01,0.0
1900-01-01 11:56:02,0.0
1900-01-01 11:56:03,0.0
1900-01-01 11:56:04,0.0
1900-01-01 11:56:05,0.0
1900-01-01 11:56:06,0.0
1900-01-01 11:56:07,0.0
1900-01-01 11:56:08,0.0
1900-01-01 11:56:09,0.0
1900-01-01 11:56:10,0.0
1900-01-01 11:56:11,0.0
1900-01-01 11:56:12,0.0
1900-01-01 11:56:13,0.0
1900-01-01 11:56:14,0.0
1900-01-01 11:56:15,0.0
1900-01-01 11:56:16,0.0
1900-01-01 11:56:17,0.0
1900-01-01 11:56:18,0.0
1900-01-01 11:56:19,0.0
1900-01-01 11:56:20,0.0
1900-01-01 11:56:21,0.0
1900-01-01 11:56:22,0.0
1900-01-01 11:56:23,0.0
1900-01-01 11:56:24,0.0
1900-01-01 11:56:25,0.0
1900-01-01 11:56:26,0.0
1900-01-01 11:56:27,0.0
1900-01-01 11:56:28,0.0
1900-01-01 11:56:29,0.0
1900-01-01 11:56:30,0.0
1900-01-01 11:56:31,0.0
1900-01-01 11:56:32,0.0
1900-01-01 11:56:33,0.0
1900-01-01 11:56:34,0.0
1900-01-01 11:56:35,0.0
1900-01-01 11:56:36,0.0
1900-01-01 11:56:37,0.0
1900-01-01 11:56:38,0.0
1900-01-01 11:56:39,0.0
1900-01-01 11:56:40,0.0
1900-01-01 11:56:41,0.0
1900-01-01 11:56:42,0.0
1900-01-01 11:56:43,0.0
1900-01-01 11:56:44,0.0
1900-01-01 11:56:45,0.0
1900-01-01 11:56:46,0.0
1900-01-01 11:56:47,0.0
1900-01-01 11:56:48,0.0
1900-01-01 11:56:49,0.0
1900-01-01 11:56:50,0.0
1900-01-01 11:56:51,0.0
1900-01-01 11:56:52,0.0
1900-01-01 11:56:53,0.0
1900-01-01 11:56:54,0.0
1900-01-01 11:56:55,0.0
1900-01-01 11:56:56,0.0
1900-01-01 11:56:57,0.0
1900-01-01 11:56:58,0.0
1900-01-01 11:56:59,0.0
1900-01-01 11:57:00,0.0
